P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
ADV	w[-1]=好久	w[0]=不	w[1]=見	pos[-1]=Vi	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=見	w[1]=的	pos[-1]=ADV	pos[0]=Vt	pos[1]=T
T	w[-1]=見	w[0]=的	w[1]=朋友	pos[-1]=Vt	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=朋友	w[1]=相約	pos[-1]=T	pos[0]=N	pos[1]=Vi
Vi	w[-1]=朋友	w[0]=相約	w[1]=見面	pos[-1]=N	pos[0]=Vi	pos[1]=Vi
Vi	w[-1]=相約	w[0]=見面	w[1]=聊天	pos[-1]=Vi	pos[0]=Vi	pos[1]=Vi
Vi	w[-1]=見面	w[0]=聊天	w[1]=，	pos[-1]=Vi	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=聊天	w[0]=，	w[1]=當	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=P
P	w[-1]=，	w[0]=當	w[1]=話題	pos[-1]=COMMACATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=當	w[0]=話題	w[1]=一	pos[-1]=P	pos[0]=N	pos[1]=ADV
ADV	w[-1]=話題	w[0]=一	w[1]=轉到	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=一	w[0]=轉到	w[1]=彼此	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=轉到	w[0]=彼此	w[1]=近況	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=彼此	w[0]=近況	w[1]=時	pos[-1]=N	pos[0]=N	pos[1]=POST
POST	w[-1]=近況	w[0]=時	w[1]=，	pos[-1]=N	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=時	w[0]=，	w[1]=即使	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=即使	w[1]=對	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=P
P	w[-1]=即使	w[0]=對	w[1]=生活	pos[-1]=C	pos[0]=P	pos[1]=N
N	w[-1]=對	w[0]=生活	w[1]=尚	pos[-1]=P	pos[0]=N	pos[1]=ADV
ADV	w[-1]=生活	w[0]=尚	w[1]=稱	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=尚	w[0]=稱	w[1]=滿意	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=稱	w[0]=滿意	w[1]=，	pos[-1]=Vt	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=滿意	w[0]=，	w[1]=但	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=但	w[1]=十	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=DET
DET	w[-1]=但	w[0]=十	w[1]=有	pos[-1]=C	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=十	w[0]=有	w[1]=八九	pos[-1]=DET	pos[0]=Vt	pos[1]=DET
DET	w[-1]=有	w[0]=八九	w[1]=還是	pos[-1]=Vt	pos[0]=DET	pos[1]=ADV
ADV	w[-1]=八九	w[0]=還是	w[1]=會	pos[-1]=DET	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=還是	w[0]=會	w[1]=抱怨	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=抱怨	w[1]=自己	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=自己	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=工作	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=工作	w[1]=、	pos[-1]=T	pos[0]=N	pos[1]=PAUSECATEGORY
PAUSECATEGORY	w[-1]=工作	w[0]=、	w[1]=配偶	pos[-1]=N	pos[0]=PAUSECATEGORY	pos[1]=N
N	w[-1]=、	w[0]=配偶	w[1]=或	pos[-1]=PAUSECATEGORY	pos[0]=N	pos[1]=C
C	w[-1]=配偶	w[0]=或	w[1]=男女	pos[-1]=N	pos[0]=C	pos[1]=N
N	w[-1]=或	w[0]=男女	w[1]=朋友	pos[-1]=C	pos[0]=N	pos[1]=N
N	w[-1]=男女	w[0]=朋友	w[1]=。	pos[-1]=N	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=朋友	w[0]=。	w[1]=為什麼	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=ADV	__EOS__
ADV	w[-1]=。	w[0]=為什麼	w[1]=？	pos[-1]=PERIODCATEGORY	pos[0]=ADV	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=為什麼	w[0]=？	w[1]=因為	pos[-1]=ADV	pos[0]=QUESTIONCATEGORY	pos[1]=C
C	w[-1]=？	w[0]=因為	w[1]=我們	pos[-1]=QUESTIONCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=因為	w[0]=我們	w[1]=害怕	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=我們	w[0]=害怕	w[1]=談論	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=害怕	w[0]=談論	w[1]=自己	pos[-1]=Vt	pos[0]=Vt	pos[1]=N
N	w[-1]=談論	w[0]=自己	w[1]=有	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=自己	w[0]=有	w[1]=多	pos[-1]=N	pos[0]=Vt	pos[1]=DET
DET	w[-1]=有	w[0]=多	w[1]=滿足	pos[-1]=Vt	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=多	w[0]=滿足	w[1]=，	pos[-1]=DET	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=滿足	w[0]=，	w[1]=會	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=會	w[1]=讓	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=讓	w[1]=自己	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=讓	w[0]=自己	w[1]=或	pos[-1]=Vt	pos[0]=N	pos[1]=C
C	w[-1]=自己	w[0]=或	w[1]=對方	pos[-1]=N	pos[0]=C	pos[1]=N
N	w[-1]=或	w[0]=對方	w[1]=覺得	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=對方	w[0]=覺得	w[1]=尷尬	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=覺得	w[0]=尷尬	w[1]=。	pos[-1]=Vt	pos[0]=Vi	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=尷尬	w[0]=。	w[1]=相反	pos[-1]=Vi	pos[0]=PERIODCATEGORY	pos[1]=Vi	__EOS__
Vi	w[-1]=。	w[0]=相反	w[1]=地	pos[-1]=PERIODCATEGORY	pos[0]=Vi	pos[1]=N
N	w[-1]=相反	w[0]=地	w[1]=，	pos[-1]=Vi	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=地	w[0]=，	w[1]=抱怨	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=抱怨	w[1]=自己	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=自己	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=生活	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=生活	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=生活	w[0]=，	w[1]=則	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=則	w[1]=會	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=則	w[0]=會	w[1]=讓	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=讓	w[1]=對方	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=讓	w[0]=對方	w[1]=容易	pos[-1]=Vt	pos[0]=N	pos[1]=Vi
Vi	w[-1]=對方	w[0]=容易	w[1]=同情	pos[-1]=N	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=容易	w[0]=同情	w[1]=我們	pos[-1]=Vi	pos[0]=Vt	pos[1]=N
N	w[-1]=同情	w[0]=我們	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=我們	w[0]=的	w[1]=遭遇	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=遭遇	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=遭遇	w[0]=，	w[1]=是	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=是	w[1]=一	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=DET
DET	w[-1]=是	w[0]=一	w[1]=個	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=個	w[1]=比較	pos[-1]=DET	pos[0]=M	pos[1]=ADV
ADV	w[-1]=個	w[0]=比較	w[1]=「	pos[-1]=M	pos[0]=ADV	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=比較	w[0]=「	w[1]=簡單	pos[-1]=ADV	pos[0]=PARENTHESISCATEGORY	pos[1]=Vi
Vi	w[-1]=「	w[0]=簡單	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vi	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=簡單	w[0]=」	w[1]=的	pos[-1]=Vi	pos[0]=PARENTHESISCATEGORY	pos[1]=T
T	w[-1]=」	w[0]=的	w[1]=話題	pos[-1]=PARENTHESISCATEGORY	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=話題	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=話題	w[0]=。	w[1]=從	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=P	__EOS__
P	w[-1]=。	w[0]=從	w[1]=心理學	pos[-1]=PERIODCATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=從	w[0]=心理學	w[1]=的	pos[-1]=P	pos[0]=N	pos[1]=T
T	w[-1]=心理學	w[0]=的	w[1]=角度	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=角度	w[1]=來	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=角度	w[0]=來	w[1]=分析	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=來	w[0]=分析	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=分析	w[0]=，	w[1]=抱怨	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=抱怨	w[1]=其實	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=抱怨	w[0]=其實	w[1]=有	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=其實	w[0]=有	w[1]=兩	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=有	w[0]=兩	w[1]=種	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=兩	w[0]=種	w[1]=基本	pos[-1]=DET	pos[0]=M	pos[1]=A
A	w[-1]=種	w[0]=基本	w[1]=類型	pos[-1]=M	pos[0]=A	pos[1]=N
N	w[-1]=基本	w[0]=類型	w[1]=：	pos[-1]=A	pos[0]=N	pos[1]=COLONCATEGORY
COLONCATEGORY	w[-1]=類型	w[0]=：	w[1]=「	pos[-1]=N	pos[0]=COLONCATEGORY	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=：	w[0]=「	w[1]=工具型	pos[-1]=COLONCATEGORY	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=工具型	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=工具型	w[0]=」	w[1]=和	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=」	w[0]=和	w[1]=「	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=和	w[0]=「	w[1]=表達型	pos[-1]=C	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=表達型	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=表達型	w[0]=」	w[1]=。	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=」	w[0]=。	w[1]=工具型	pos[-1]=PARENTHESISCATEGORY	pos[0]=PERIODCATEGORY	pos[1]=N	__EOS__
N	w[-1]=。	w[0]=工具型	w[1]=抱怨	pos[-1]=PERIODCATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=工具型	w[0]=抱怨	w[1]=者	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=者	w[1]=有	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=者	w[0]=有	w[1]=著	pos[-1]=N	pos[0]=Vt	pos[1]=ASP
ASP	w[-1]=有	w[0]=著	w[1]=明確	pos[-1]=Vt	pos[0]=ASP	pos[1]=Vi
Vi	w[-1]=著	w[0]=明確	w[1]=的	pos[-1]=ASP	pos[0]=Vi	pos[1]=T
T	w[-1]=明確	w[0]=的	w[1]=目的	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=目的	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=目的	w[0]=，	w[1]=那	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=那	w[1]=就是	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=C
C	w[-1]=那	w[0]=就是	w[1]=想	pos[-1]=ADV	pos[0]=C	pos[1]=Vt
Vt	w[-1]=就是	w[0]=想	w[1]=藉著	pos[-1]=C	pos[0]=Vt	pos[1]=P
P	w[-1]=想	w[0]=藉著	w[1]=將	pos[-1]=Vt	pos[0]=P	pos[1]=P
P	w[-1]=藉著	w[0]=將	w[1]=問題	pos[-1]=P	pos[0]=P	pos[1]=N
N	w[-1]=將	w[0]=問題	w[1]=說出來	pos[-1]=P	pos[0]=N	pos[1]=Vi
Vi	w[-1]=問題	w[0]=說出來	w[1]=進而	pos[-1]=N	pos[0]=Vi	pos[1]=C
C	w[-1]=說出來	w[0]=進而	w[1]=解決	pos[-1]=Vi	pos[0]=C	pos[1]=Vt
Vt	w[-1]=進而	w[0]=解決	w[1]=問題	pos[-1]=C	pos[0]=Vt	pos[1]=N
N	w[-1]=解決	w[0]=問題	w[1]=。	pos[-1]=Vt	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=問題	w[0]=。	w[1]=例如	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=P	__EOS__
P	w[-1]=。	w[0]=例如	w[1]=某	pos[-1]=PERIODCATEGORY	pos[0]=P	pos[1]=DET
DET	w[-1]=例如	w[0]=某	w[1]=個	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=某	w[0]=個	w[1]=母親	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=母親	w[1]=對	pos[-1]=M	pos[0]=N	pos[1]=P
P	w[-1]=母親	w[0]=對	w[1]=著	pos[-1]=N	pos[0]=P	pos[1]=ASP
ASP	w[-1]=對	w[0]=著	w[1]=她	pos[-1]=P	pos[0]=ASP	pos[1]=N
N	w[-1]=著	w[0]=她	w[1]=的	pos[-1]=ASP	pos[0]=N	pos[1]=T
T	w[-1]=她	w[0]=的	w[1]=小孩	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=小孩	w[1]=抱怨	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=小孩	w[0]=抱怨	w[1]=他們	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=他們	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=他們	w[0]=的	w[1]=房間	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=房間	w[1]=實在	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=房間	w[0]=實在	w[1]=太	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=實在	w[0]=太	w[1]=髒	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=太	w[0]=髒	w[1]=了	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=髒	w[0]=了	w[1]=，	pos[-1]=Vi	pos[0]=T	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=了	w[0]=，	w[1]=其實	pos[-1]=T	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=其實	w[1]=母親	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=N
N	w[-1]=其實	w[0]=母親	w[1]=是	pos[-1]=ADV	pos[0]=N	pos[1]=Vt
Vt	w[-1]=母親	w[0]=是	w[1]=希望	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=是	w[0]=希望	w[1]=孩子	pos[-1]=Vt	pos[0]=Vt	pos[1]=N
N	w[-1]=希望	w[0]=孩子	w[1]=們	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=孩子	w[0]=們	w[1]=能夠	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=們	w[0]=能夠	w[1]=保持	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=能夠	w[0]=保持	w[1]=清潔	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=保持	w[0]=清潔	w[1]=，	pos[-1]=Vt	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=清潔	w[0]=，	w[1]=這樣	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=Vi
Vi	w[-1]=，	w[0]=這樣	w[1]=她	pos[-1]=COMMACATEGORY	pos[0]=Vi	pos[1]=N
N	w[-1]=這樣	w[0]=她	w[1]=就	pos[-1]=Vi	pos[0]=N	pos[1]=ADV
ADV	w[-1]=她	w[0]=就	w[1]=不必	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=就	w[0]=不必	w[1]=經常	pos[-1]=ADV	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=不必	w[0]=經常	w[1]=打掃	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=經常	w[0]=打掃	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=打掃	w[0]=，	w[1]=或者	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=或者	w[1]=能夠	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=ADV
ADV	w[-1]=或者	w[0]=能夠	w[1]=有	pos[-1]=C	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=能夠	w[0]=有	w[1]=更多	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=有	w[0]=更多	w[1]=屬於	pos[-1]=Vt	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=更多	w[0]=屬於	w[1]=自己	pos[-1]=DET	pos[0]=Vt	pos[1]=N
N	w[-1]=屬於	w[0]=自己	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=時間	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=時間	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=時間	w[0]=。	w[1]=表達型	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=N	__EOS__
N	w[-1]=。	w[0]=表達型	w[1]=抱怨	pos[-1]=PERIODCATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=表達型	w[0]=抱怨	w[1]=者	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=者	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=者	w[0]=的	w[1]=目的	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=目的	w[1]=則	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=目的	w[0]=則	w[1]=完全	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=則	w[0]=完全	w[1]=不	pos[-1]=ADV	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=完全	w[0]=不	w[1]=是	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=是	w[1]=為了	pos[-1]=ADV	pos[0]=Vt	pos[1]=P
P	w[-1]=是	w[0]=為了	w[1]=解決	pos[-1]=Vt	pos[0]=P	pos[1]=Vt
Vt	w[-1]=為了	w[0]=解決	w[1]=問題	pos[-1]=P	pos[0]=Vt	pos[1]=N
N	w[-1]=解決	w[0]=問題	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=問題	w[0]=，	w[1]=而是	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=而是	w[1]=不吐不快	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=Vi
Vi	w[-1]=而是	w[0]=不吐不快	w[1]=！	pos[-1]=C	pos[0]=Vi	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=不吐不快	w[0]=！	w[1]=例如	pos[-1]=Vi	pos[0]=EXCLAMATIONCATEGORY	pos[1]=P
P	w[-1]=！	w[0]=例如	w[1]=開車	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=P	pos[1]=Vi
Vi	w[-1]=例如	w[0]=開車	w[1]=時	pos[-1]=P	pos[0]=Vi	pos[1]=POST
POST	w[-1]=開車	w[0]=時	w[1]=向	pos[-1]=Vi	pos[0]=POST	pos[1]=P
P	w[-1]=時	w[0]=向	w[1]=坐	pos[-1]=POST	pos[0]=P	pos[1]=Vi
Vi	w[-1]=向	w[0]=坐	w[1]=在	pos[-1]=P	pos[0]=Vi	pos[1]=P
P	w[-1]=坐	w[0]=在	w[1]=旁邊	pos[-1]=Vi	pos[0]=P	pos[1]=N
N	w[-1]=在	w[0]=旁邊	w[1]=的	pos[-1]=P	pos[0]=N	pos[1]=T
T	w[-1]=旁邊	w[0]=的	w[1]=乘客	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=乘客	w[1]=大罵	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=乘客	w[0]=大罵	w[1]=剛剛	pos[-1]=N	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=大罵	w[0]=剛剛	w[1]=超	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=剛剛	w[0]=超	w[1]=你	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=超	w[0]=你	w[1]=車	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=你	w[0]=車	w[1]=的	pos[-1]=N	pos[0]=N	pos[1]=T
T	w[-1]=車	w[0]=的	w[1]=駕駛	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=駕駛	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=駕駛	w[0]=，	w[1]=或是	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=或是	w[1]=向	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=P
P	w[-1]=或是	w[0]=向	w[1]=朋友	pos[-1]=C	pos[0]=P	pos[1]=N
N	w[-1]=向	w[0]=朋友	w[1]=抱怨	pos[-1]=P	pos[0]=N	pos[1]=Vt
Vt	w[-1]=朋友	w[0]=抱怨	w[1]=自己	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=抱怨	w[0]=自己	w[1]=老公	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=自己	w[0]=老公	w[1]=忘記	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=老公	w[0]=忘記	w[1]=結婚	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=忘記	w[0]=結婚	w[1]=紀念日	pos[-1]=Vt	pos[0]=Vi	pos[1]=N
N	w[-1]=結婚	w[0]=紀念日	w[1]=…	pos[-1]=Vi	pos[0]=N	pos[1]=ETCCATEGORY
ETCCATEGORY	w[-1]=紀念日	w[0]=…	w[1]=等	pos[-1]=N	pos[0]=ETCCATEGORY	pos[1]=POST
POST	w[-1]=…	w[0]=等	w[1]=。	pos[-1]=ETCCATEGORY	pos[0]=POST	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=等	w[0]=。	w[1]=你	pos[-1]=POST	pos[0]=PERIODCATEGORY	pos[1]=N	__EOS__
N	w[-1]=。	w[0]=你	w[1]=是	pos[-1]=PERIODCATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=你	w[0]=是	w[1]=屬於	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=是	w[0]=屬於	w[1]=哪	pos[-1]=Vt	pos[0]=Vt	pos[1]=DET
DET	w[-1]=屬於	w[0]=哪	w[1]=種	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=哪	w[0]=種	w[1]=抱怨	pos[-1]=DET	pos[0]=M	pos[1]=Nv
Nv	w[-1]=種	w[0]=抱怨	w[1]=類型	pos[-1]=M	pos[0]=Nv	pos[1]=N
N	w[-1]=抱怨	w[0]=類型	w[1]=？	pos[-1]=Nv	pos[0]=N	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=類型	w[0]=？	w[1]=根據	pos[-1]=N	pos[0]=QUESTIONCATEGORY	pos[1]=P
P	w[-1]=？	w[0]=根據	w[1]=克萊森	pos[-1]=QUESTIONCATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=根據	w[0]=克萊森	w[1]=大學	pos[-1]=P	pos[0]=N	pos[1]=N
N	w[-1]=克萊森	w[0]=大學	w[1]=（	pos[-1]=N	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=大學	w[0]=（	w[1]=Clemson	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=FW
FW	w[-1]=（	w[0]=Clemson	w[1]=University	pos[-1]=PARENTHESISCATEGORY	pos[0]=FW	pos[1]=FW
